Year,State,RATE,Deaths
2021,AL,26.4,1315
2021,AK,25.2,182
2021,AZ,18.3,1365
2021,AR,23.3,698
2021,CA,9,3576
2021,CO,17.8,1064
2021,CT,6.7,248
2021,DE,16.6,158
2021,FL,14.1,3142
2021,GA,20.3,2200
2021,HI,4.8,71
2021,ID,16.3,309
2021,IL,16.1,1995
2021,IN,18.4,1251
2021,IA,11.2,364
2021,KS,17.3,503
2021,KY,21.1,947
2021,LA,29.1,1314
2021,ME,12.6,178
2021,MD,15.2,915
2021,MA,3.4,247
2021,MI,15.4,1544
2021,MN,10,573
2021,MS,33.9,962
2021,MO,23.2,1414
2021,MT,25.1,280
2021,NE,10.3,200
2021,NV,19.8,633
2021,NH,8.3,123
2021,NJ,5.2,475
2021,NM,27.8,578
2021,NY,5.4,1078
2021,NC,17.3,1839
2021,ND,16.8,128
2021,OH,16.5,1911
2021,OK,21.2,836
2021,OR,14.9,670
2021,PA,14.8,1905
2021,RI,5.6,64
2021,SC,22.4,1136
2021,SD,14.3,128
2021,TN,22.8,1569
2021,TX,15.6,4613
2021,UT,13.9,450
2021,VT,11.9,83
2021,VA,14.3,1248
2021,WA,11.2,896
2021,WV,17.3,319
2021,WI,13.5,793
2021,WY,26.1,155
2020,AL,23.6,1141
2020,AK,23.5,175
2020,AZ,16.7,1265
2020,AR,22.6,673
2020,CA,8.5,3449
2020,CO,15.4,922
2020,CT,6,219
2020,DE,14.4,135
2020,FL,13.7,3041
2020,GA,17.7,1897
2020,HI,3.4,50
2020,ID,17.6,321
2020,IL,14.1,1745
2020,IN,17.3,1159
2020,IA,11.2,351
2020,KS,16.9,494
2020,KY,20.1,902
2020,LA,26.3,1183
2020,ME,10.4,153
2020,MD,13.5,803
2020,MA,3.7,268
2020,MI,14.6,1454
2020,MN,8.9,513
2020,MS,28.6,818
2020,MO,23.9,1426
2020,MT,20.9,238
2020,NE,10.1,197
2020,NV,17,547
2020,NH,8.9,128
2020,NJ,5,443
2020,NM,22.7,479
2020,NY,5.3,1052
2020,NC,16,1699
2020,ND,13.8,100
2020,OH,15.2,1764
2020,OK,20.7,826
2020,OR,13,592
2020,PA,13.6,1752
2020,RI,5.1,54
2020,SC,22,1131
2020,SD,13.6,120
2020,TN,21.3,1473
2020,TX,14.2,4164
2020,UT,13.6,429
2020,VT,11.6,76
2020,VA,13.4,1174
2020,WA,10.9,864
2020,WV,18.1,325
2020,WI,12.2,717
2020,WY,25.9,154
2019,AL,22.2,1076
2019,AK,24.4,179
2019,AZ,15.1,1136
2019,AR,19.3,580
2019,CA,7.2,2945
2019,CO,14.2,846
2019,CT,5.3,190
2019,DE,9.9,93
2019,FL,12.7,2872
2019,GA,15.8,1695
2019,HI,4.4,62
2019,ID,14.2,255
2019,IL,10.8,1367
2019,IN,14.1,958
2019,IA,9.1,294
2019,KS,13.7,403
2019,KY,14.9,682
2019,LA,22.1,1013
2019,ME,11.5,163
2019,MD,12.6,757
2019,MA,3.4,247
2019,MI,12.1,1220
2019,MN,8.1,465
2019,MS,24.2,710
2019,MO,20.6,1252
2019,MT,19,209
2019,NE,10.4,205
2019,NV,15.3,490
2019,NH,10.7,156
2019,NJ,4.1,368
2019,NM,22.3,471
2019,NY,3.9,804
2019,NC,13.1,1397
2019,ND,12.4,93
2019,OH,13.3,1578
2019,OK,18.6,737
2019,OR,12.6,566
2019,PA,11.7,1541
2019,RI,4.6,48
2019,SC,19.9,1012
2019,SD,13.1,113
2019,TN,18.4,1270
2019,TX,12.7,3683
2019,UT,12.8,394
2019,VT,9.3,67
2019,VA,11.7,1025
2019,WA,10.7,842
2019,WV,16.6,300
2019,WI,10,604
2019,WY,22.3,133
2018,AL,21.8,1064
2018,AK,21,155
2018,AZ,15.3,1147
2018,AR,18.9,573
2018,CA,7.5,3040
2018,CO,15.2,889
2018,CT,4.9,186
2018,DE,11.6,107
2018,FL,12.9,2902
2018,GA,15.7,1680
2018,HI,4,59
2018,ID,16.6,294
2018,IL,10.9,1382
2018,IN,14.7,977
2018,IA,8.7,282
2018,KS,14.8,424
2018,KY,16.9,762
2018,LA,21.4,991
2018,ME,10.3,159
2018,MD,11.7,707
2018,MA,3.5,258
2018,MI,12.9,1310
2018,MN,7.8,437
2018,MS,22.9,681
2018,MO,21.5,1311
2018,MT,17.3,186
2018,NE,9,183
2018,NV,17.9,550
2018,NH,10.8,155
2018,NJ,4.8,420
2018,NM,20.7,438
2018,NY,4.1,821
2018,NC,13.3,1416
2018,ND,11.5,89
2018,OH,13.1,1555
2018,OK,16.8,665
2018,OR,11.7,519
2018,PA,12.5,1654
2018,RI,3.3,37
2018,SC,17.6,895
2018,SD,13.6,117
2018,TN,17.8,1228
2018,TX,12.2,3522
2018,UT,13.2,397
2018,VT,12.8,82
2018,VA,11.8,1035
2018,WA,10.4,809
2018,WV,18.2,343
2018,WI,10.1,598
2018,WY,21.5,124
2017,AL,22.9,1124
2017,AK,24.5,180
2017,AZ,15.8,1134
2017,AR,20.3,613
2017,CA,7.9,3184
2017,CO,13.4,779
2017,CT,5.1,188
2017,DE,11.7,111
2017,FL,12.4,2724
2017,GA,15.4,1623
2017,HI,2.5,39
2017,ID,16.4,280
2017,IL,12.1,1543
2017,IN,15.3,1016
2017,IA,9,293
2017,KS,16,466
2017,KY,16.2,730
2017,LA,21.7,1008
2017,ME,11.7,172
2017,MD,12.3,742
2017,MA,3.7,262
2017,MI,11.3,1138
2017,MN,8.2,465
2017,MS,21.5,632
2017,MO,21.5,1307
2017,MT,22.5,244
2017,NE,8.3,160
2017,NV,16.7,508
2017,NH,10.4,146
2017,NJ,5.3,478
2017,NM,18.5,394
2017,NY,3.7,772
2017,NC,13.7,1430
2017,ND,13.2,103
2017,OH,13.7,1589
2017,OK,17.2,681
2017,OR,12.1,528
2017,PA,12.5,1636
2017,RI,3.9,43
2017,SC,17.7,893
2017,SD,11.9,101
2017,TN,18.4,1246
