Year,State, Deaths
2021,AL,1315
2021,AK,182
2021,AZ,1365
2021,AR,698
2021,CA,3576
2021,CO,1064
2021,CT,248
2021,DE,158
2021,FL,3142
2021,GA,2200
2021,HI,71
2021,ID,309
2021,IL,1995
2021,IN,1251
2021,IA,364
2021,KS,503
2021,KY,947
2021,LA,1314
2021,ME,178
2021,MD,915
2021,MA,247
2021,MI,1544
2021,MN,573
2021,MS,962
2021,MO,1414
2021,MT,280
2021,NE,200
2021,NV,633
2021,NH,123
2021,NJ,475
2021,NM,578
2021,NY,1078
2021,NC,1839
2021,ND,128
2021,OH,1911
2021,OK,836
2021,OR,670
2021,PA,1905
2021,RI,64
2021,SC,1136
2021,SD,128
2021,TN,1569
2021,TX,4613
2021,UT,450
2021,VT,83
2021,VA,1248
2021,WA,896
2021,WV,319
2021,WI,793
2021,WY,155
2020,AL,1141
2020,AK,175
2020,AZ,1265
2020,AR,673
2020,CA,3449
2020,CO,922
2020,CT,219
2020,DE,135
2020,FL,3041
2020,GA,1897
2020,HI,50
2020,ID,321
2020,IL,1745
2020,IN,1159
2020,IA,351
2020,KS,494
2020,KY,902
2020,LA,1183
2020,ME,153
2020,MD,803
2020,MA,268
2020,MI,1454
2020,MN,513
2020,MS,818
2020,MO,1426
2020,MT,238
2020,NE,197
2020,NV,547
2020,NH,128
2020,NJ,443
2020,NM,479
2020,NY,1052
2020,NC,1699
2020,ND,100
2020,OH,1764
2020,OK,826
2020,OR,592
2020,PA,1752
2020,RI,54
2020,SC,1131
2020,SD,120
2020,TN,1473
2020,TX,4164
2020,UT,429
2020,VT,76
2020,VA,1174
2020,WA,864
2020,WV,325
2020,WI,717
2020,WY,154
2019,AL,1076
2019,AK,179
2019,AZ,1136
2019,AR,580
2019,CA,2945
2019,CO,846
2019,CT,190
2019,DE,93
2019,FL,2872
2019,GA,1695
2019,HI,62
2019,ID,255
2019,IL,1367
2019,IN,958
2019,IA,294
2019,KS,403
2019,KY,682
2019,LA,1013
2019,ME,163
2019,MD,757
2019,MA,247
2019,MI,1220
2019,MN,465
2019,MS,710
2019,MO,1252
2019,MT,209
2019,NE,205
2019,NV,490
2019,NH,156
2019,NJ,368
2019,NM,471
2019,NY,804
2019,NC,1397
2019,ND,93
2019,OH,1578
2019,OK,737
2019,OR,566
2019,PA,1541
2019,RI,48
2019,SC,1012
2019,SD,113
2019,TN,1270
2019,TX,3683
2019,UT,394
2019,VT,67
2019,VA,1025
2019,WA,842
2019,WV,300
2019,WI,604
2019,WY,133
2018,AL,1064
2018,AK,155
2018,AZ,1147
2018,AR,573
2018,CA,3040
2018,CO,889
2018,CT,186
2018,DE,107
2018,FL,2902
2018,GA,1680
2018,HI,59
2018,ID,294
2018,IL,1382
2018,IN,977
2018,IA,282
2018,KS,424
2018,KY,762
2018,LA,991
2018,ME,159
2018,MD,707
2018,MA,258
2018,MI,1310
2018,MN,437
2018,MS,681
2018,MO,1311
2018,MT,186
2018,NE,183
2018,NV,550
2018,NH,155
2018,NJ,420
2018,NM,438
2018,NY,821
2018,NC,1416
2018,ND,89
2018,OH,1555
2018,OK,665
2018,OR,519
2018,PA,1654
2018,RI,37
2018,SC,895
2018,SD,117
2018,TN,1228
2018,TX,3522
2018,UT,397
2018,VT,82
2018,VA,1035
2018,WA,809
2018,WV,343
2018,WI,598
2018,WY,124
2017,AL,1124
2017,AK,180
2017,AZ,1134
2017,AR,613
2017,CA,3184
2017,CO,779
2017,CT,188
2017,DE,111
2017,FL,2724
2017,GA,1623
2017,HI,39
2017,ID,280
2017,IL,1543
2017,IN,1016
2017,IA,293
2017,KS,466
2017,KY,730
2017,LA,1008
2017,ME,172
2017,MD,742
2017,MA,262
2017,MI,1138
2017,MN,465
2017,MS,632
2017,MO,1307
2017,MT,244
2017,NE,160
2017,NV,508
2017,NH,146
2017,NJ,478
2017,NM,394
2017,NY,772
2017,NC,1430
2017,ND,103
2017,OH,1589
2017,OK,681
2017,OR,528
2017,PA,1636
2017,RI,43
2017,SC,893
2017,SD,101
2017,TN,1246
2017,TX,3513
2017,UT,410
2017,VT,70
2017,VA,1041
2017,WA,849
2017,WV,348
2017,WI,624
2017,WY,113
2016,AL,1046
2016,AK,177
2016,AZ,1094
2016,AR,541
2016,CA,3184
2016,CO,812
2016,CT,172
2016,DE,111
2016,FL,2704
2016,GA,1571
2016,HI,66
2016,ID,242
2016,IL,1490
2016,IN,997
2016,IA,288
2016,KS,383
2016,KY,772
2016,LA,987
2016,ME,123
2016,MD,707
2016,MA,242
2016,MI,1230
2016,MN,432
2016,MS,587
2016,MO,1144
2016,MT,194
2016,NE,171
2016,NV,498
2016,NH,132
2016,NJ,485
2016,NM,383
2016,NY,900
2016,NC,1409
2016,ND,90
2016,OH,1524
2016,OK,766
2016,OR,513
2016,PA,1555
2016,RI,49
2016,SC,891
2016,SD,108
2016,TN,1148
2016,TX,3353
2016,UT,370
2016,VT,78
2016,VA,1049
2016,WA,686
2016,WV,332
2016,WI,664
2016,WY,101
2015,AL,958
2015,AK,177
2015,AZ,970
2015,AR,520
2015,CA,3095
2015,CO,701
2015,CT,189
2015,DE,112
2015,FL,2559
2015,GA,1448
2015,HI,55
2015,ID,247
2015,IL,1220
2015,IN,846
2015,IA,247
2015,KS,330
2015,KY,694
2015,LA,952
2015,ME,144
2015,MD,708
2015,MA,213
2015,MI,1164
2015,MN,410
2015,MS,589
2015,MO,1094
2015,MT,205
2015,NE,169
2015,NV,446
2015,NH,121
2015,NJ,475
2015,NM,390
2015,NY,849
2015,NC,1289
2015,ND,92
2015,OH,1397
2015,OK,706
2015,OR,486
2015,PA,1485
2015,RI,51
2015,SC,850
2015,SD,96
2015,TN,1075
2015,TX,3203
2015,UT,367
2015,VT,70
2015,VA,946
2015,WA,718
2015,WV,278
2015,WI,613
2015,WY,113
2014,AL,815
2014,AK,145
2014,AZ,927
2014,AR,496
2014,CA,2942
2014,CO,663
2014,CT,187
2014,DE,102
2014,FL,2410
2014,GA,1391
2014,HI,40
2014,ID,213
2014,IL,1179
2014,IN,818
2014,IA,241
2014,KS,329
2014,KY,634
2014,LA,896
2014,ME,133
2014,MD,546
2014,MA,226
2014,MI,1095
2014,MN,377
2014,MS,547
2014,MO,943
2014,MT,172
2014,NE,179
2014,NV,429
2014,NH,122
2014,NJ,468
2014,NM,340
2014,NY,875
2014,NC,1206
2014,ND,96
2014,OH,1211
2014,OK,611
2014,OR,497
2014,PA,1390
2014,RI,34
2014,SC,767
2014,SD,89
2014,TN,1016
2014,TX,2848
2014,UT,337
2014,VT,69
2014,VA,889
2014,WA,702
2014,WV,286
2014,WI,487
2014,WY,93
2005,AL,736
2005,AK,116
2005,AZ,934
2005,AR,439
2005,CA,3453
2005,CO,535
2005,CT,187
2005,DE,75
2005,FL,1838
2005,GA,1064
2005,HI,28
2005,ID,195
2005,IL,1019
2005,IN,705
2005,IA,201
